"COD_PED","COD_LINHA","DESC","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","Total Geral","LATITUDE","LONGITUDE"
3375968,"90","Rua Rio Negro, 31",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.97111104,-44.20402961
3375969,"90","Rodovia FernÆo Dias, 140",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.97541425,-44.19366816
3375970,"90","Avenida Amazonas, 1206",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,-19.9689128,-44.20225981
3375975,"90","Rua Viriato Borges J£nior, 2765",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.95459967,-44.19612512
3375982,"90","Rua Doutor Eduardo Lopes Filho, 120",NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96968244,-44.19168189
3376039,"90","Rodovia Br 381 Fernao Dias, 315",NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.98067129,-44.20118702
3376085,"90","Rua Dezoito Ac Av Um, 145",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.99685285,-44.20867648
3376086,"90","Rodovia FernÆo Dias",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.99647747,-44.20953971
3376087,"90","Rodovia FernÆo Dias, 67",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,-20.0111419,-44.21864185
3376102,"90","Rua Serginho, 166",NA,NA,NA,NA,NA,6,NA,NA,NA,1,NA,NA,NA,2,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,-20.02030178,-44.22909905
3376148,"90","Rua Planalto, 194",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03309284,-44.23867654
3376149,"90","Rua Planalto, 146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03304159,-44.23860561
3376153,"90","Rua Planalto, 26",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03252411,-44.23731179
3376154,"90","Rua Manoel Avelar, 181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03074904,-44.23634036
3376162,"90","Avenida Doutor Jos‚ Mariano, 614",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02778908,-44.22836418
3376163,"90","Rua Geraldo Jos‚ Viˆira, 36",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02733044,-44.22799182
3376173,"90","Rua CapitÆo Mariano, 19",NA,NA,NA,NA,NA,3,NA,9,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03541568,-44.21937694
3376174,"90","Rua dos Bandeirantes, 205",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03842284,-44.22084101
3376176,"90","Rua Ol vo Bilac, 290",NA,NA,NA,NA,NA,1,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-20.04024187,-44.22192235
3376177,"90","Rua Miguel Pereira, 288",NA,NA,NA,NA,NA,6,NA,1,NA,2,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.039707,-44.21703281
3534294,"90","Terminal Rodovi rio de Betim - Sentido Bairro",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96286937,-44.16246964
3547993,"90","Avenida Edmeia Mattos Lazzarotti, 3083",NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,-19.95135207,-44.19473679
3619961,"90","Avenida Edmeia Mattos Lazzarotti, 1255",NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.96476731,-44.20131932
3679198,"90","Rua das Ac cias, 56",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03176378,-44.23661238
