"COD_PED","COD_LINHA","DESC","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","Total Geral","LATITUDE","LONGITUDE"
3374310,"90","Rua Geraldo Jos‚ Viˆira, 392",NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02731368,-44.224445
3374311,"90","Rua Geraldo Jos‚ Viˆira, 215",NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,-20.02692736,-44.2263359
3374312,"90","Rua Geraldo Jos‚ Viˆira, 160",NA,NA,NA,NA,NA,NA,NA,2,NA,3,4,NA,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,-20.027005,-44.22668691
3374313,"90","Rua Geraldo Jos‚ Viˆira, 46",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.0273798,-44.227917
3374314,"90","Avenida Doutor Jos‚ Mariano, 1042",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03155109,-44.22803744
3374315,"90","Avenida Doutor Jos‚ Mariano, 843",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02964987,-44.22841304
3374316,"90","Avenida Doutor Jos‚ Mariano, 453",NA,NA,NA,NA,NA,4,NA,1,NA,5,7,NA,NA,NA,1,6,NA,1,NA,NA,NA,NA,NA,NA,NA,-20.0270158,-44.22956253
3374317,"90","Avenida Doutor Jos‚ Mariano, 453",NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.0269505,-44.22953265
3374319,"90","Rua Frei Edgard Groot, 192",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02711039,-44.23153826
3374322,"90","Rua Chanceler MagalhÆes Pinto, 188",NA,NA,NA,NA,NA,1,NA,2,NA,1,2,1,2,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,-20.02554472,-44.22804954
3374323,"90","Rua Chanceler MagalhÆes Pinto, 179",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02543164,-44.22813564
3374324,"90","Rua Jos‚ Mariano, 227",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.025311,-44.23016868
3374325,"90","Avenida Doutor Jos‚ Mariano, 198",NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02510165,-44.23012602
3374326,"90","Rua Turmalina, 37",NA,NA,NA,NA,NA,4,NA,3,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.0242538,-44.22779273
3374327,"90","Avenida Doutor Jos‚ Mariano, 38",NA,NA,NA,NA,NA,4,NA,6,NA,5,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02378426,-44.22966785
3374329,"90","Avenida Doutor Jos‚ Mariano, 21",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,-20.02364132,-44.22961921
3374330,"90","Rua Vereador Paulo Drumond, 20",NA,NA,NA,NA,NA,18,NA,4,NA,2,5,5,NA,5,2,4,NA,1,1,NA,NA,NA,NA,NA,NA,-20.02153431,-44.22884468
3374331,"90","Rodovia Br 381 Fernao Dias, 441",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.0286003,-44.23400715
3374332,"90","Rodovia Br 381 Fernao Dias, 450",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.02858924,-44.23410936
3374337,"90","Avenida Doutor Jos‚ Mariano, 623",NA,NA,NA,NA,NA,4,NA,NA,NA,7,3,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,-20.02768468,-44.22829383
3374339,"90","Avenida Doutor Jos‚ Mariano, 1030",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.03177223,-44.22809644
